Training progress:   0%|          | 1/300 [00:07<37:18,  7.49s/it]Loss at epoch 1: 0.757420 --> Best model ever (stored)
Training progress:   1%|          | 2/300 [00:13<33:44,  6.79s/it]Loss at epoch 2: 0.430242 --> Best model ever (stored)
Training progress:   1%|          | 3/300 [00:20<32:46,  6.62s/it]Loss at epoch 3: 0.227379 --> Best model ever (stored)
Training progress:   1%|▏         | 4/300 [00:26<32:14,  6.54s/it]Loss at epoch 4: 0.107029 --> Best model ever (stored)
Training progress:   2%|▏         | 5/300 [00:33<31:55,  6.49s/it]Loss at epoch 5: 0.075103 --> Best model ever (stored)
Training progress:   2%|▏         | 6/300 [00:39<31:41,  6.47s/it]Loss at epoch 6: 0.065672 --> Best model ever (stored)
Training progress:   2%|▏         | 7/300 [00:45<31:30,  6.45s/it]Loss at epoch 7: 0.051641 --> Best model ever (stored)
Training progress:   3%|▎         | 8/300 [00:52<31:17,  6.43s/it]Loss at epoch 8: 0.043347 --> Best model ever (stored)
Training progress:   3%|▎         | 9/300 [00:58<31:09,  6.42s/it]Loss at epoch 9: 0.036481 --> Best model ever (stored)
Training progress:   3%|▎         | 10/300 [01:05<31:01,  6.42s/it]Loss at epoch 10: 0.030860 --> Best model ever (stored)
Training progress:   4%|▎         | 11/300 [01:11<30:53,  6.41s/it]Loss at epoch 11: 0.028000 --> Best model ever (stored)
Training progress:   4%|▍         | 12/300 [01:18<30:58,  6.45s/it]Loss at epoch 12: 0.026432 --> Best model ever (stored)
Training progress:   4%|▍         | 13/300 [01:24<31:19,  6.55s/it]Loss at epoch 13: 0.024652 --> Best model ever (stored)
Training progress:   5%|▍         | 14/300 [01:31<31:52,  6.69s/it]Loss at epoch 14: 0.024381 --> Best model ever (stored)
Training progress:   5%|▌         | 15/300 [01:38<32:12,  6.78s/it]Loss at epoch 15: 0.023236 --> Best model ever (stored)
Training progress:   5%|▌         | 16/300 [01:45<32:14,  6.81s/it]Loss at epoch 16: 0.021504 --> Best model ever (stored)
Training progress:   6%|▌         | 17/300 [01:52<32:16,  6.84s/it]Loss at epoch 17: 0.021585
Training progress:   6%|▌         | 18/300 [01:59<32:19,  6.88s/it]Loss at epoch 18: 0.021043 --> Best model ever (stored)
Training progress:   6%|▋         | 19/300 [02:06<32:14,  6.88s/it]Loss at epoch 19: 0.020064 --> Best model ever (stored)
Training progress:   7%|▋         | 20/300 [02:13<32:08,  6.89s/it]Loss at epoch 20: 0.019765 --> Best model ever (stored)
Training progress:   7%|▋         | 21/300 [02:20<32:06,  6.91s/it]Loss at epoch 21: 0.019010 --> Best model ever (stored)
Training progress:   7%|▋         | 22/300 [02:27<32:10,  6.94s/it]Loss at epoch 22: 0.019499
Training progress:   8%|▊         | 23/300 [02:34<32:01,  6.94s/it]Loss at epoch 23: 0.018449 --> Best model ever (stored)
Training progress:   8%|▊         | 24/300 [02:41<31:51,  6.92s/it]Loss at epoch 24: 0.018709
Training progress:   8%|▊         | 25/300 [02:48<31:47,  6.94s/it]Loss at epoch 25: 0.018106 --> Best model ever (stored)
Training progress:   9%|▊         | 26/300 [02:54<31:15,  6.85s/it]Loss at epoch 26: 0.018496
Training progress:   9%|▉         | 27/300 [03:01<30:46,  6.77s/it]Loss at epoch 27: 0.018222
Training progress:   9%|▉         | 28/300 [03:08<30:35,  6.75s/it]Loss at epoch 28: 0.016980 --> Best model ever (stored)
Training progress:  10%|▉         | 29/300 [03:14<30:15,  6.70s/it]Loss at epoch 29: 0.017636
Training progress:  10%|█         | 30/300 [03:21<30:03,  6.68s/it]Loss at epoch 30: 0.017174
Training progress:  10%|█         | 31/300 [03:27<29:53,  6.67s/it]Loss at epoch 31: 0.017574
Training progress:  11%|█         | 32/300 [03:34<29:43,  6.66s/it]Loss at epoch 32: 0.016828 --> Best model ever (stored)
Training progress:  11%|█         | 33/300 [03:41<30:09,  6.78s/it]Loss at epoch 33: 0.016508 --> Best model ever (stored)
Training progress:  11%|█▏        | 34/300 [03:48<30:13,  6.82s/it]Loss at epoch 34: 0.016207 --> Best model ever (stored)
Training progress:  12%|█▏        | 35/300 [03:55<30:32,  6.91s/it]Loss at epoch 35: 0.015879 --> Best model ever (stored)
Training progress:  12%|█▏        | 36/300 [04:02<30:28,  6.93s/it]Loss at epoch 36: 0.016849
Training progress:  12%|█▏        | 37/300 [04:09<30:25,  6.94s/it]Loss at epoch 37: 0.015984
Training progress:  13%|█▎        | 38/300 [04:16<30:16,  6.93s/it]Loss at epoch 38: 0.016028
Training progress:  13%|█▎        | 39/300 [04:23<30:13,  6.95s/it]Loss at epoch 39: 0.016079
Training progress:  13%|█▎        | 40/300 [04:30<30:18,  6.99s/it]Loss at epoch 40: 0.015254 --> Best model ever (stored)
Training progress:  14%|█▎        | 41/300 [04:37<30:15,  7.01s/it]Loss at epoch 41: 0.016506
Training progress:  14%|█▍        | 42/300 [04:44<29:59,  6.97s/it]Loss at epoch 42: 0.014943 --> Best model ever (stored)
Training progress:  14%|█▍        | 43/300 [04:51<29:52,  6.97s/it]Loss at epoch 43: 0.015176
